vintage,iso3c,years,gdp_deflator,interest_rate_percent
weo-2024-10,KEN,2008,54.72657581190441,4.619336821944821
weo-2024-10,KEN,2009,61.096063521922005,4.3110974627324845
weo-2024-10,KEN,2010,62.09754510516059,4.603191500151988
weo-2024-10,KEN,2011,68.34767078980576,4.786272319753138
weo-2024-10,KEN,2012,74.8564079938841,4.675111326255105
weo-2024-10,KEN,2013,80.34903866042696,5.079940404396628
weo-2024-10,KEN,2014,86.48370830886637,5.638683552141291
weo-2024-10,KEN,2015,94.47364545074366,5.382715847090829
weo-2024-10,KEN,2016,100.00000123451693,5.571397767881186
weo-2024-10,KEN,2017,107.60520796312309,5.933802710722561
weo-2024-10,KEN,2018,112.11653954984419,6.153734678219112
weo-2024-10,KEN,2019,116.90982221427424,6.117753958377893
weo-2024-10,KEN,2020,122.6842340847041,5.775967124371499
weo-2024-10,KEN,2021,128.0091128702157,5.995285639024576
weo-2024-10,KEN,2022,136.9148070105068,6.451031722734976
weo-2024-10,KEN,2023,145.27723656418218,6.497615649326503
weo-2024-10,KEN,2024,152.117140643664,7.435474840021921
weo-2024-10,KEN,2025,159.51638239250323,7.362769384223909
weo-2024-10,KEN,2026,167.60999707177064,7.422670614856754
weo-2024-10,KEN,2027,175.96923165650495,7.634927694352042
weo-2024-10,KEN,2028,184.47202172884104,7.720185846711572
weo-2024-10,KEN,2029,193.65688936246872,7.61031249663677
weo-2024-10,BGD,2001,40.05700776057567,
weo-2024-10,BGD,2002,41.6163376099214,
weo-2024-10,BGD,2003,44.03666529572326,3.660539627646363
weo-2024-10,BGD,2004,46.045677545104475,3.245677989767352
weo-2024-10,BGD,2005,48.15751075429802,3.397204739605767
weo-2024-10,BGD,2006,50.987207708290036,3.6767687956374444
weo-2024-10,BGD,2007,54.28677051509199,3.912083171431831
weo-2024-10,BGD,2008,58.554211340647036,5.281939932317652
weo-2024-10,BGD,2009,62.515052080253184,5.5103108719133385
weo-2024-10,BGD,2010,66.98153136967933,5.231974912997483
weo-2024-10,BGD,2011,72.24590467180576,4.678321742593212
weo-2024-10,BGD,2012,78.1444479304637,5.375466236853999
weo-2024-10,BGD,2013,83.75130179305282,5.778742538951501
weo-2024-10,BGD,2014,88.49890215201299,6.064837700999118
weo-2024-10,BGD,2015,93.69629412983693,6.047510338682335
weo-2024-10,BGD,2016,100,5.755335405158556
weo-2024-10,BGD,2017,105.04758379534154,5.424835087993634
weo-2024-10,BGD,2018,111.14616769155225,5.420562086580047
weo-2024-10,BGD,2019,115.21210879392711,5.30295134744005
weo-2024-10,BGD,2020,119.63742021422117,5.3299959735469224
weo-2024-10,BGD,2021,124.56790959877824,5.614292227376012
weo-2024-10,BGD,2022,130.8573348928389,5.172247299348219
weo-2024-10,BGD,2023,139.88274603091688,5.212605328706327
weo-2024-10,BGD,2024,147.96345851620706,4.78779011331388
weo-2024-10,BGD,2025,163.23663115802165,4.458851502471816
weo-2024-10,BGD,2026,172.09398432584607,5.872912112041959
weo-2024-10,BGD,2027,180.96953732478318,6.043789672669981
weo-2024-10,BGD,2028,190.8203733299505,5.842758298998484
weo-2024-10,BGD,2029,201.10578141302736,5.690191165462438
weo-2026-04,UGA,2001,33.600225,1.7604592530653744
weo-2026-04,UGA,2002,34.55547,1.9321944158875541
weo-2026-04,UGA,2003,36.823416,2.344276775582614
weo-2026-04,UGA,2004,39.532141,2.6199135769505864
weo-2026-04,UGA,2005,40.970065,2.55200148830439
weo-2026-04,UGA,2006,44.479868,3.40011714261207
weo-2026-04,UGA,2007,48.178814,5.325809241661202
weo-2026-04,UGA,2008,55.755423,5.691449564364818
weo-2026-04,UGA,2009,65.473515,5.217875123688423
weo-2026-04,UGA,2010,66.888184,3.8226785704821227
weo-2026-04,UGA,2011,80.184689,3.998477802585313
weo-2026-04,UGA,2012,87.514541,5.204683493517981
weo-2026-04,UGA,2013,90.880148,4.82335166514374
weo-2026-04,UGA,2014,92.842977,4.885714103182459
weo-2026-04,UGA,2015,92.867269,5.040191122357673
weo-2026-04,UGA,2016,98.208638,6.57095236042702
weo-2026-04,UGA,2017,101.457705,6.126384225902692
weo-2026-04,UGA,2018,106.94283,5.125977064730004
