vintage,iso3c,measure,variant,years,value
weo-2024-10,UGA,working_age,High,2072,89698
weo-2024-10,UGA,working_age,High,2073,91033
weo-2024-10,UGA,working_age,High,2074,92357
weo-2024-10,UGA,working_age,High,2075,93665
weo-2024-10,UGA,working_age,High,2076,94959
weo-2024-10,UGA,working_age,High,2077,96244
weo-2024-10,UGA,working_age,High,2078,97518
weo-2024-10,UGA,working_age,High,2079,98784
weo-2024-10,UGA,working_age,High,2080,100040
weo-2024-10,UGA,working_age,High,2081,101285
weo-2024-10,UGA,working_age,High,2082,102514
weo-2024-10,UGA,working_age,High,2083,103724
weo-2024-10,UGA,working_age,High,2084,104919
weo-2024-10,UGA,working_age,High,2085,106096
weo-2024-10,UGA,working_age,High,2086,107253
weo-2024-10,UGA,working_age,High,2087,108357
weo-2024-10,UGA,working_age,High,2088,109417
weo-2024-10,UGA,working_age,High,2089,110472
weo-2024-10,UGA,working_age,High,2090,111530
weo-2024-10,UGA,working_age,High,2091,112595
weo-2024-10,UGA,working_age,High,2092,113633
weo-2024-10,UGA,working_age,High,2093,114645
weo-2024-10,UGA,working_age,High,2094,115665
weo-2024-10,UGA,working_age,High,2095,116691
weo-2024-10,UGA,working_age,High,2096,117720
weo-2024-10,UGA,working_age,High,2097,118732
weo-2024-10,UGA,working_age,High,2098,119720
weo-2024-10,UGA,working_age,High,2099,120712
weo-2024-10,UGA,total,Low,2009,31413
weo-2024-10,UGA,total,Low,2010,32342
weo-2024-10,UGA,total,Low,2011,33296
weo-2024-10,UGA,total,Low,2012,34273
weo-2024-10,UGA,total,Low,2013,35274
weo-2024-10,UGA,total,Low,2014,36337
weo-2024-10,UGA,total,Low,2015,37477
weo-2024-10,UGA,total,Low,2016,38748
weo-2024-10,UGA,total,Low,2017,40127
weo-2024-10,UGA,total,Low,2018,41515
weo-2024-10,UGA,total,Low,2019,42949
weo-2024-10,UGA,total,Low,2020,44405
weo-2024-10,UGA,total,Low,2021,45854
weo-2024-10,UGA,total,Low,2022,47203
weo-2024-10,UGA,total,Low,2023,48441
weo-2024-10,UGA,total,Low,2024,49685
weo-2024-10,UGA,total,Low,2025,50945
weo-2024-10,UGA,total,Low,2026,52225
weo-2024-10,UGA,total,Low,2027,53491
weo-2024-10,UGA,total,Low,2028,54740
weo-2024-10,UGA,total,Low,2029,55995
weo-2024-10,UGA,total,Low,2030,57249
weo-2024-10,UGA,total,Low,2031,58500
weo-2024-10,UGA,total,Low,2032,59725
weo-2024-10,UGA,total,Low,2033,60924
weo-2024-10,UGA,total,Low,2034,62118
weo-2024-10,UGA,total,Low,2035,63312
weo-2024-10,UGA,total,Low,2036,64505
weo-2024-10,UGA,total,Low,2037,65695
weo-2024-10,UGA,total,Low,2038,66881
weo-2024-10,UGA,total,Low,2039,68054
weo-2024-10,UGA,total,Low,2040,69218
weo-2024-10,UGA,total,Low,2041,70370
weo-2024-10,UGA,total,Low,2042,71506
weo-2024-10,UGA,total,Low,2043,72628
weo-2024-10,UGA,total,Low,2044,73739
weo-2024-10,UGA,total,Low,2045,74837
weo-2024-10,UGA,total,Low,2046,75921
weo-2024-10,UGA,total,Low,2047,76986
weo-2024-10,UGA,total,Low,2048,78028
weo-2024-10,UGA,total,Low,2049,79048
weo-2024-10,UGA,total,Low,2050,80042
weo-2024-10,UGA,total,Low,2051,81008
weo-2024-10,UGA,total,Low,2052,81949
weo-2024-10,UGA,total,Low,2053,82861
weo-2024-10,UGA,total,Low,2054,83741
weo-2024-10,UGA,total,Low,2055,84591
weo-2024-10,UGA,total,Low,2056,85411
weo-2024-10,UGA,total,Low,2057,86206
weo-2024-10,UGA,total,Low,2058,86974
weo-2024-10,UGA,total,Low,2059,87710
weo-2024-10,UGA,total,Low,2060,88410
weo-2024-10,UGA,total,Low,2061,89076
weo-2024-10,UGA,total,Low,2062,89710
weo-2024-10,UGA,total,Low,2063,90309
weo-2024-10,UGA,total,Low,2064,90874
weo-2024-10,UGA,total,Low,2065,91402
weo-2024-10,UGA,total,Low,2066,91895
weo-2024-10,UGA,total,Low,2067,92353
weo-2024-10,UGA,total,Low,2068,92778
weo-2024-10,UGA,total,Low,2069,93172
weo-2024-10,UGA,total,Low,2070,93531
weo-2024-10,UGA,total,Low,2071,93853
weo-2024-10,UGA,total,Low,2072,94136
weo-2024-10,UGA,total,Low,2073,94382
weo-2024-10,UGA,total,Low,2074,94593
weo-2024-10,UGA,total,Low,2075,94772
weo-2024-10,UGA,total,Low,2076,94921
weo-2024-10,UGA,total,Low,2077,95037
weo-2024-10,UGA,total,Low,2078,95120
weo-2024-10,UGA,total,Low,2079,95176
weo-2024-10,UGA,total,Low,2080,95203
weo-2024-10,UGA,total,Low,2081,95198
weo-2024-10,UGA,total,Low,2082,95163
weo-2024-10,UGA,total,Low,2083,95096
weo-2024-10,UGA,total,Low,2084,94999
weo-2024-10,UGA,total,Low,2085,94875
weo-2024-10,UGA,total,Low,2086,94718
weo-2024-10,UGA,total,Low,2087,94530
weo-2024-10,UGA,total,Low,2088,94313
weo-2024-10,UGA,total,Low,2089,94067
weo-2024-10,UGA,total,Low,2090,93792
weo-2024-10,UGA,total,Low,2091,93491
weo-2024-10,UGA,total,Low,2092,93165
weo-2024-10,UGA,total,Low,2093,92811
weo-2024-10,UGA,total,Low,2094,92430
weo-2024-10,UGA,total,Low,2095,92030
weo-2024-10,UGA,total,Low,2096,91605
weo-2024-10,UGA,total,Low,2097,91153
weo-2024-10,UGA,total,Low,2098,90681
weo-2024-10,UGA,total,Low,2099,90191
